ACD_ID,HEADLINE,INDUSTRY
161,Principal Software Engineer at CA Technologies,Computer Software
176,Software Engineer at Financial Engines,Computer Software
201,VP of Sales and Business Development at Reppify,Internet
230,IT Executive,Information Technology and Services
231,CEO at Reppify,Internet
249,Software Development Intern at Reppify,Computer Software
267,Country Implementation Manager at Experian,Computer Software
354,"CHRO, VP, Human Resources at IntegraMed",Human Resources
394,Head of Market Development @ BraveNewTalent; Advisor @ budtobud; Co-Founder @ Datacenter Trust,Internet
395,Information Technology Consultant,Information Technology and Services
1430,Senior Project Manager Consultant at PacifiCorp,Information Technology and Services
1431,Senior Technical Support Engineer at Raytheon,Defense & Space
1435,Managing Partner AcqHire Inc.,Staffing and Recruiting
1443,Business Development Coordinator at Reppify,Human Resources
1455,"Founder & CEO, Zintro Inc.",Information Technology and Services
1456,Senior Executive Recruiter,Staffing and Recruiting
1474,"Cofounder, Asurint",Security and Investigations
1478,Associate Professor of Business Law (tenured),Education Management
1484,"Bradson Consulting, President, Managing Principal",Management Consulting
1496,Sr. Recruiter at BeyondTek IT,Staffing and Recruiting
1497,Talent Acquisition Manager Questcor Pharmaceuticals,Staffing and Recruiting
1525,Sr. Information Technology Architecture Specialist at The Dow Chemical Company,Chemicals
1528,Career Strategist | People Connector | Mentorship | Personal Branding | Interview Training | Program Development | Coach,Professional Training & Coaching
1533,Sr Recruiter / Talent Acquisition at Red Bull,Computer Software
1536,IT Corporate Recruiter at Raymond James Financial,Information Technology and Services
1560,Senior Project Manager at Highbury Defense Group,Defense & Space
1577,Asst. Manager Contract & Immigration,Staffing and Recruiting
1578,"SaaS Sales Leader/Producer & Business Builder in ATS, Employee Referral, HCM & E-Recruiting Industry",Computer Software
1611,Distinguished University Professor at University of San Diego,Higher Education
1615,MBA Candidate at UCLA Anderson,"Health, Wellness and Fitness"
1617,Sr. Director/VP Client Success at Oracle/Taleo/Learn.com,Computer Software
1635,"SAP HANA, FICO, FSCM, SCM, ISU, Java, B2B Oracle EBS, Microsoft, Cloud, WMS, BPM, EAI, Web, SOA, Recruiters",Staffing and Recruiting
