CID,CANDIDATE TITLE,CANDIDATE CATEGORY,JID,JOB TITLE,JOB CATEGORY,SCORE,MAX SCORE,CATEGORY MATCH,
2038,Manager- Recruitment at Microland,Human Resources,171192,"Accenture Management Consulting - Financial Services - Fraud (AML) Risk Management, Consultant +",Industry Solutions | Services,0.06603809,0.15521182,0,UNIQUE
2038,Manager- Recruitment at Microland,Human Resources,180376,HR & Talent Management/Cloud Technologies Consultant,Process Excellence | Change Enablement,0.056035176,0.15521182,0,UNIQUE
4521,Recruiting Manager at WunderLand,Staffing and Recruiting,216138,Associate Recruiter,Human Resources,0.15404981,0.40625295,0,UNIQUE
4521,Recruiting Manager at WunderLand,Staffing and Recruiting,246159,Recruitment Transaction Processing Analyst,Business Process Delivery,0.087143734,0.40625295,0,UNIQUE
4521,Recruiting Manager at WunderLand,Staffing and Recruiting,264198,Recruitment Transaction Processing Analyst,Recruitment,0.087143734,0.40625295,0,UNIQUE
4549,"Recruiter, Head Hunter, Staffing & Resourcing Expert | Entrepreneur | @ravi_dutt | @EOMinds |",Staffing and Recruiting,221385,Federal - Centralized Recruiting Team Lead,Human Resources,0.030982882,0.095304005,0,UNIQUE
4549,"Recruiter, Head Hunter, Staffing & Resourcing Expert | Entrepreneur | @ravi_dutt | @EOMinds |",Staffing and Recruiting,246159,Recruitment Transaction Processing Analyst,Business Process Delivery,0.03540901,0.095304005,0,UNIQUE
4549,"Recruiter, Head Hunter, Staffing & Resourcing Expert | Entrepreneur | @ravi_dutt | @EOMinds |",Staffing and Recruiting,264198,Recruitment Transaction Processing Analyst,Recruitment,0.03540901,0.095304005,0,UNIQUE
TEST,Development in Java,Software Engineering,174394,Salesforce.com Senior Software Engineer  +,Software Engineering,0.1325544,0.4381733,1,UNIQUE
TEST,Development in Java,Software Engineering,210034,Software Engineering eCommerce Developer -S,Software Engineering,0.115985096,0.4381733,1,UNIQUE
TEST,Development in Java,Software Engineering,210813,Big Data Software Engineering Analyst+,Software Engineering,0.082013845,0.4381733,1,UNIQUE
TEST,Development in Java,Software Engineering,210815,Hadoop Software Engineering Team Lead+,Software Engineering,0.082013845,0.4381733,1,UNIQUE
TEST,Development in Java,Software Engineering,215113,"Federal - Senior PeopleSoft Developer - Annapolis Junction, MD",Software Engineering,0.070297584,0.4381733,1,UNIQUE
