CANDIDATE TITLE,CANDIDATE CATEGORY,JID,JOB TITLE,JOB CATEGORY,SCORE,MAX SCORE,CATEGORY MATCH
Software Engineer at Financial Engines,Software Engineering,174394,Salesforce.com Senior Software Engineer  +,Software Engineering,0.14406776,0.14406776,1
Software Engineer at Financial Engines,Software Engineering,217140,CA:Gen Senior Software Developer,Software Engineering,0.14406776,0.14406776,1
Software Engineer at Financial Engines,Software Engineering,210034,Software Engineering eCommerce Developer -S,Software Engineering,0.13138674,0.14406776,1
Software Engineer at Financial Engines,Software Engineering,217015,Data Analytics Senior Developer,Software Engineering,0.105074994,0.14406776,1
Software Engineer at Financial Engines,Software Engineering,210813,Big Data Software Engineering Analyst+,Software Engineering,0.09995257,0.14406776,1
Software Engineer at Financial Engines,Software Engineering,210815,Hadoop Software Engineering Team Lead+,Software Engineering,0.09995257,0.14406776,1
Software Engineer at Financial Engines,Software Engineering,211382,Software Engineering - Sr. Analyst - Java - S,Software Engineering,0.08840651,0.14406776,1
Software Engineer at Financial Engines,Software Engineering,215841,Java Webservices Software Engineering Sr. Analyst- Austin,Software Engineering,0.08840651,0.14406776,1
Software Engineer at Financial Engines,Software Engineering,215848,"Entry Level Software Engineering Associate - Atlanta, GA +",Software Engineering,0.08840651,0.14406776,1
Software Engineer at Financial Engines,Software Engineering,215113,"Federal - Senior PeopleSoft Developer - Annapolis Junction, MD",Software Engineering,0.080001876,0.14406776,1
Software Engineer at Financial Engines,Software Engineering,215503,Java/J2EE Execution Architect - Software Engineering Team Lead +,Software Engineering,0.07686045,0.14406776,1
Software Development Intern at Reppify,Software Engineering,174394,Salesforce.com Senior Software Engineer  +,Software Engineering,0.050684657,0.050684657,1
Software Development Intern at Reppify,Software Engineering,217140,CA:Gen Senior Software Developer,Software Engineering,0.050684657,0.050684657,1
Software Development Intern at Reppify,Software Engineering,210034,Software Engineering eCommerce Developer -S,Software Engineering,0.04767148,0.050684657,1
Software Development Intern at Reppify,Software Engineering,217015,Data Analytics Senior Developer,Software Engineering,0.035839465,0.050684657,1
Software Development Intern at Reppify,Software Engineering,210813,Big Data Software Engineering Analyst+,Software Engineering,0.03568938,0.050684657,1
Software Development Intern at Reppify,Software Engineering,210815,Hadoop Software Engineering Team Lead+,Software Engineering,0.03568938,0.050684657,1
Software Development Intern at Reppify,Software Engineering,211382,Software Engineering - Sr. Analyst - Java - S,Software Engineering,0.030590896,0.050684657,1
Software Development Intern at Reppify,Software Engineering,215841,Java Webservices Software Engineering Sr. Analyst- Austin,Software Engineering,0.030590896,0.050684657,1
