6,Software Engineer,Computer Software
7,Software Engineer,Internet
24,Senior Software Engineer,Internet
41,Consultant - Technology,Information Technology and Services
69,Investment Manager,Commercial Real Estate
115,Software Engineer,Computer Software
131,Software Engineer Trainee,Computer Software
148,Principal Software Engineer,Computer Software
162,Software Engineer,Financial Services
167,HR Executive,Real Estate
176,QA Engineer,Computer Software
180,VP of Sales and Business Development,Internet
195,Software Engineer II,Computer Software
205,Software Engineer,Marketing and Advertising
207,Senior Software Engineer,Internet
210,Consulting Advisor,Internet
211,Founder & CEO,Internet
213,Talent Acquisition  Specialist - GlobalLogic,Computer Software
229,Software Development Intern,Computer Software
230,Graduate Student,Higher Education
244,SEO Consultant,Information Technology and Services
247,Country Implementation Manager,Marketing and Advertising
254,Lead Software Engineer,Computer Software
258,Market specialist (India),Internet
290,Software Engineer,Internet
293,Software Development Intern,Computer Software
315,Lead Software Engineer,Computer Software
316,Software Engineer,Computer Software
324,Advisory Board,Human Resources
325,"CHRO, VP, Human Resources",Management Consulting
326,Board Member,Internet
337,Software Engineer,Internet
348,QA,Computer Software
358,Advisor,Internet
359,Head of Market Development (Consultant),Internet
360,Co-Founder & CEO,Information Technology and Services
361,Information Technology Consultant,Entertainment
363,SDE,Electrical/Electronic Manufacturing
1697,Recruitment Lead,Information Technology and Services
1698,Senior Project Manager,Utilities
1699,Senior Technical Support Engineer,Defense & Space
1704,Managing Partner,Staffing and Recruiting
1713,California Editor,Human Resources
1714,Business Development Coordinator,Human Resources
1728,Sr. Business Process Improvement Consultant,Information Technology and Services
1729,Executive Recruiter,Staffing and Recruiting
1733,Senior Consultant (Strategic Technical Talent Acquisition and Consulting business operations),Computer Software
1735,CEO,Information Technology and Services
1753,Principal; and Trainer,Professional Training & Coaching
1754,Author,Publishing
1760,Board Member,Management Consulting
1761,"President, Managing Principal",Management Consulting
1775,Sr. Recruiter,Staffing and Recruiting
1776,Talent Acquisition Manager,Pharmaceuticals
1799,Senior Recruitment Consultant,Staffing and Recruiting
1806,Sr. Information Technology Architecture Specialist,Chemicals
1810,Executive Director of Strengths and Vocation,Higher Education
1812,Parish Pastoral Worker,Professional Training & Coaching
1816,Sr Recruiter / Talent Acquisition,Food & Beverages
1819,IT Corporate Recruiter,Financial Services
1851,Senior Project Manager,Defense & Space
1877,Asst. Manager Contract & Immigration,Staffing and Recruiting
1878,Employee Referral & Recruitment Technology Sales / Consulting,Computer Software
1916,Sales Account Manager,Marketing and Advertising
1917,COO,Think Tanks
1919,Professor,Higher Education
1920,Quondam Executive Director,Higher Education
1921,Distinguished University Professor,Higher Education
1922,Associate Fellow,Higher Education
1923,Founder /CEO,Higher Education
1924,Visiting Professor,Higher Education
1929,VP Client Success,Computer Software
1956,"Principal Consultant, Custom Recruiting Solutions",Information Technology and Services
1957,"Principal,   Custom Recruiting Solutions",Staffing and Recruiting
1962,Managing Partner,Human Resources
1965,Director Ahlers Center for International Business in the School of Business Administration,Higher Education
1966,Professor of Economics in the School of Business Administration,Higher Education
1967,Associate Provost for International Affairs and Director International Center,Higher Education
1968,Director of Marketing,Information Technology and Services
1969,Principal,Market Research
1970,"Co-Chair, Pilots & Collaborations Workgroup",Hospital & Health Care
1971,Principal,Marketing and Advertising
1972,Founder,Information Technology and Services
1973,Founder & Executive Producer,Media Production
1988,Sales Director,Staffing and Recruiting
1996,"President, Executive Search",Staffing and Recruiting
2016,Technical Recruiter,Information Technology and Services
2026,General Manager/Sr Technical Recruiter,Information Technology and Services
2032,Adjunct Professor,Higher Education
2033,Associate Faculty,Higher Education
2034,"Global Talent Management & Leadership Development, Consulting and Training",Management Consulting
2035,Intercultural Global Business Consultant & Cross Cultural Trainer,Management Consulting
2040,Digital & Interactive Recruiter,Financial Services
2041,Digital Recruitment Consultant,Staffing and Recruiting
2043,Associate Consultant,Civic & Social Organization
2044,Core Team Member,Higher Education
2045,Business Analyst | Product Manager Coordinator,Computer Software
2061,Senior Recruiter South EMEA,Internet
2070,Chief Fun Officer,"Leisure, Travel & Tourism"
2072,Global Head of Talent Sourcing and Innovation,Management Consulting
2084,Client Partner,Staffing and Recruiting
2089,Talent Acquisition Consultant - DIRECTV and LifeShield,Staffing and Recruiting
2109,Host | Owner | Writer | Russian Market Entry Expert | Russian Business Analyst | Business Networker,Management Consulting
2110,Founder | Managing Partner | Russian Market Entry Expert | Russian Business Development Consultant,Management Consulting
2130,HR Manager,Machinery
2135,Lead Software Engineer,Internet
2141,Talent Sourcer through Search Wizards at Microsoft Corporation,Computer Software
2142,Executive Search Sourcer,Entertainment
2145,"Manager | Recruitment, Marketing and Alumni Relations",Higher Education
2146,Consultant | Marketing and Implementation,Higher Education
2165,IT Contracts Recruitment Consultant,Staffing and Recruiting
2166,Specialist SAP Contractor Recruiter,Staffing and Recruiting
2167,Majors Account Executive,Internet
2171,"Emotional Intelligence (EI) Consultant, Master Trainer/Founder",Management Consulting
2174,National Recruiting Manager,Military
2181,Sr. Technical Recruiter,Staffing and Recruiting
2182,Global Logistics Commodity Manager,Semiconductors
2183,Co-Owner,Retail
2184,Independent Representative,"Leisure, Travel & Tourism"
2185,Project Coordinator,Computer Software
2216,Senior Business Architect for Oracle Utilities Customer Care and Billing System,Information Technology and Services
2221,Board of Directors,Computer Software
2222,Board Observer,Computer Software
2223,Managing Director,Venture Capital & Private Equity
2227,Regional Recruiting Business Partner,Media Production
2237,Independent Consultant,Computer Software
2238,Business System Analyst,Computer Software
2261,Software Developer Internship,Computer Software
2262,Account Manager,Human Resources
2267,Sr. Account Executive - Platform Partnerships,Internet
2274,Business Operations,Information Technology and Services
2292,Director of Business Development,Computer Software
2321,Senior Technical Recruiter,Staffing and Recruiting
2352,Overseer,Information Services
2353,"Trustee, former Chairman of Audit Committee",Higher Education
2354,Founder & CEO,Information Services
2355,"Member, Gastrointestinal Cancer Committee",Information Services
2366,"SVP, Managing Director, Chief Strategist",Marketing and Advertising
2370,Sr. Talent Acquisition Member,Computer Software
2373,Range Planner,Military
2384,Operations Officer,Information Technology and Services
2403,Division Manager,Staffing and Recruiting
2405,Talent Sourcer/Principal Consultant,Staffing and Recruiting
2418,Partner,Staffing and Recruiting
