,"Case: 20 Rows; 50,000 Indexed; 971 queried",,,,"Case: 20 Rows, 50,000 Indexed; 5000 queried",,
Total Time,13.986,14.716,11.671,,65.256289,51.07324,56.4258
Average Time,0.014323,0.01507,0.01194,,0.013008,0.01017,0.011236
Standard Deviation,0.0062916,0.006143,0.007254,,0.0074446,0.007736,0.00644368
Total/Query,0.014403708,0.01515551,0.012019567,,0.013051258,0.010214648,0.01128516
,,,,,,,
,"Case: 20 Rows; 5,000 Indexed; 971 queried",,,,"Case: 20 Rows, 5,000 Indexed; 5000 queried",,
Total Time,7.941234,7.7248218,7.5406,,40.6521,40.7748,39.38111
Average Time,0.00813008,0.00780011,0.00772698,,0.008088,0.0080939,0.00784
Standard Deviation,0.00819404,0.008123,0.0078205,,0.00929821,0.009004957,0.007796275
Total/Query,0.001588247,0.001544964,0.00150812,,0.00813042,0.00815496,0.007876222
,,,,,,,
,Case: 20 Rows; 50 Indexed; 971 queried,,,,"Case: 20 Rows, 50 Indexed; 5000 queried",,
Total Time,7.884974002,7.28787,7.24764299,,,,
Average Time,0.008039,0.007441147,0.0073997,,,,
Standard Deviation,0.00825914,0.00782064,0.0078117,,,,
Total/Query,0.15769948,0.1457574,0.14495286,,,,
